count,train_code,departure_station,destination_station,depart_time,arrive_time,during_time,business_class,special_class,first_class,second_class,soft_sleeper,hard_sleeper,hard_seat,no_seat,strict_mode,hs
1,G1608,光明城,广州南,13:27,14:00,00:33,11,,,,,,,,y,y
1,D9710,光明城,广州南,14:22,15:00,00:38,,,有,,,,,有,y,y
1,G6062,光明城,广州南,14:51,15:16,00:25,7,,1,,,,,有,y,y
1,G6224,光明城,广州南,15:39,16:04,00:25,8,,10,8,,,,有,y,y
1,G1012,光明城,广州南,17:18,17:44,00:26,17,,有,有,,,,有,y,y
1,G9636,光明城,广州南,18:18,18:58,00:40,11,,18,有,,,,有,y,y
1,G6354,光明城,广州南,18:27,18:52,00:25,20,,有,有,,,,有,y,y
1,G6240,光明城,广州南,20:16,20:48,00:32,12,,有,有,,,,有,y,y
1,G6588,光明城,广州南,20:33,21:05,00:32,,,,,,,,,y,y
2,G1608,光明城,广州南,13:27,14:00,00:33,11,,,,,,,,y,y
2,D9710,光明城,广州南,14:22,15:00,00:38,,,有,,,,,有,y,y
2,G6062,光明城,广州南,14:51,15:16,00:25,7,,1,,,,,有,y,y
2,G6224,光明城,广州南,15:39,16:04,00:25,8,,10,8,,,,有,y,y
2,G1012,光明城,广州南,17:18,17:44,00:26,17,,有,有,,,,有,y,y
2,G9636,光明城,广州南,18:18,18:58,00:40,11,,18,有,,,,有,y,y
2,G6354,光明城,广州南,18:27,18:52,00:25,20,,有,有,,,,有,y,y
2,G6240,光明城,广州南,20:16,20:48,00:32,12,,有,有,,,,有,y,y
2,G6588,光明城,广州南,20:33,21:05,00:32,,,,,,,,,y,y
3,G1608,光明城,广州南,13:27,14:00,00:33,11,,,,,,,,y,y
3,D9710,光明城,广州南,14:22,15:00,00:38,,,有,,,,,有,y,y
3,G6062,光明城,广州南,14:51,15:16,00:25,7,,1,,,,,有,y,y
3,G6224,光明城,广州南,15:39,16:04,00:25,8,,10,8,,,,有,y,y
3,G1012,光明城,广州南,17:18,17:44,00:26,17,,有,有,,,,有,y,y
3,G9636,光明城,广州南,18:18,18:58,00:40,11,,18,有,,,,有,y,y
3,G6354,光明城,广州南,18:27,18:52,00:25,20,,有,有,,,,有,y,y
3,G6240,光明城,广州南,20:16,20:48,00:32,12,,有,有,,,,有,y,y
3,G6588,光明城,广州南,20:33,21:05,00:32,,,,,,,,,y,y
